Genre-URI,Genre-QCode (flat),Name (en-US),Definition (en-US),created,modified,Type,Genre-QCode (full),Name (en-GB),Definition (en-GB),Note (en-US),Note (en-GB),Change-Note (en-US),Change-Note (en-GB),retired,Scheme-URI
http://cv.iptc.org/newscodes/genre/Actuality,Actuality,Actuality,Recording of an event,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Actuality,Actuality,Recording of an event,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Advertiser_Supplied,Advertiser_Supplied,Advertiser Supplied,Content is supplied by an organisation or individual that has paid the news provider for its placement,2020-04-07T12:00:00+00:00,2020-04-07T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Advertiser_Supplied,Advertiser Supplied,Content is supplied by an organisation or individual that has paid the news provider for its placement,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Advice,Advice,Advice,Letters and answers about readers' personal problems,2002-07-15T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Advice,Advice,Letters and answers about readers' personal problems,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Advisory,Advisory,Advisory,Recommendation on editorial or technical matters by a provider to its customers,2012-10-04T12:00:00+00:00,2012-10-04T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Advisory,Advisory,Recommendation on editorial or technical matters by a provider to its customers,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Analysis,Analysis,Analysis,Data and conclusions drawn by a journalist who has conducted in depth research for a story,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Analysis,Analysis,Data and conclusions drawn by a journalist who has conducted in depth research for a story,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Anniversary,Anniversary,Anniversary,"Stories about the anniversary of some important event that took place in recent history, usually bringing a short review of the event itself. ",2003-06-12T02:00:00+00:00,2019-07-30T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Anniversary,Anniversary,"Stories about the anniversary of some important event that took place in recent history, usually bringing a short review of the event itself. ",,,,,2019-07-30T12:00:00+00:00,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Archive_material,Archive_material,Archival material,Material selected from the originator's archive that has been previously distributed,2000-10-06T02:00:00+00:00,2020-05-10T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Archive_material,Archival material,Material selected from the originator's archive that has been previously distributed,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Background,Background,Background,Scene setting and explanation for an event being reported,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Background,Background,Scene setting and explanation for an event being reported,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Behind_the_Story,Behind_the_Story,Behind the Story,The content describes how a story was reported and offers context on the reporting,2020-04-07T12:00:00+00:00,2020-04-07T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Behind_the_Story,Behind the Story,The content describes how a story was reported and offers context on the reporting,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Biography,Biography,Biography,Facts and background about a person,2012-10-04T12:00:00+00:00,2012-10-04T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Biography,Biography,Facts and background about a person,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Birth_Announcement,Birth_Announcement,Birth Announcement,News of newly born children,2019-07-30T12:00:00+00:00,2019-07-30T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Birth_Announcement,Birth Announcement,News of newly born children,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Current,Current,Current Events,Content about events taking place at the time of the report,2000-10-06T02:00:00+00:00,2020-05-10T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Current,Current Events,Content about events taking place at the time of the report,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Curtain_Raiser,Curtain_Raiser,Curtain Raiser,Information or kickoff piece for a live event that is about to take place,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Curtain_Raiser,Curtain Raiser,Information or kickoff piece for a live event that is about to take place,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Daybook,Daybook,Planner,"Items filed on a regular basis that are lists of upcoming events with time and place, designed to inform others of events for planning purposes, also known as daybook or agenda",2002-07-15T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Daybook,Planner,"Items filed on a regular basis that are lists of upcoming events with time and place, designed to inform others of events for planning purposes, also known as daybook or agenda",,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Exclusive,Exclusive,Exclusive,"News reported by one journalist or news organisation before others, and of exceptional originality or importance",2002-07-15T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Exclusive,Exclusive,"News reported by one journalist or news organisation before others, and of exceptional originality or importance",,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Fact_Check,Fact_Check,Fact Check,The news item looks into the truth or falsehood of another reported news item or assertion (for example a statement on social media by a public figure),2020-04-02T12:00:00+00:00,2020-04-07T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Fact_Check,Fact Check,The news item looks into the truth or falsehood of another reported news item or assertion (for example a statement on social media by a public figure),,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Feature,Feature,Feature,Content about a particular event or individual that may not be significant to current breaking news,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Feature,Feature,Content about a particular event or individual that may not be significant to current breaking news,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Fixture,Fixture,Fixture,"Items published on a regular schedule, such as columns, cartoons, stock prices and weather forecasts",2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Fixture,Fixture,"Items published on a regular schedule, such as columns, cartoons, stock prices and weather forecasts",,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Forecast,Forecast,Forecast,Opinion as to the outcome of a future event,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Forecast,Forecast,Opinion as to the outcome of a future event,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/From_the_Scene,From_the_Scene,From the Scene,Report from the location of an event,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:From_the_Scene,From the Scene,Report from the location of an event,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Help_Us_to_Report,Help_Us_to_Report,Help us to Report,The news item is a call for readers to provide information that may help journalists to investigate a potential news story,2020-04-07T12:00:00+00:00,2020-04-07T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Help_Us_to_Report,Help us to Report,The news item is a call for readers to provide information that may help journalists to investigate a potential news story,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/History,History,History,The object content is based on previous rather than current events. ,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:History,History,The object content is based on previous rather than current events. ,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Interview,Interview,Interview,The report of a dialogue between a journalist and a news source or significant person,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Interview,Interview,The report of a dialogue between a journalist and a news source or significant person,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/ListingOfFacts,ListingOfFacts,Fact Box,Usually a sidebar that lists facts related to a topic or story,2012-10-04T12:00:00+00:00,2012-10-04T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:ListingOfFacts,Fact Box,Usually a sidebar that lists facts related to a topic or story,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/LiveCoverage,LiveCoverage,Live Coverage,"News item containing ongoing, up to the minute coverage of a news event, such as a live blog or live video feed",2021-04-28T12:00:00+00:00,2021-04-28T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:LiveCoverage,Live Coverage,"News item containing ongoing, up to the minute coverage of a news event, such as a live blog or live video feed",,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Music,Music,Music,Content is solely music,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Music,Music,Content is solely music,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Obituary,Obituary,Obituary,A narrative about an individual's life and achievements for publication after death,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Obituary,Obituary,A narrative about an individual's life and achievements for publication after death,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Opinion,Opinion,Opinion,Editorial comment that reflects the views of the author,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Opinion,Opinion,Editorial comment that reflects the views of the author,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Polls_and_Surveys,Polls_and_Surveys,Polls and Surveys,Numeric or other information produced as a result of questionnaires or interviews,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Polls_and_Surveys,Polls and Surveys,Numeric or other information produced as a result of questionnaires or interviews,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Press-Digest,Press-Digest,Press-Digest,"Roundup of news or editorial content from other sources, published in whole or in part without significant journalistic changes",2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Press-Digest,Press-Digest,"Roundup of news or editorial content from other sources, published in whole or in part without significant journalistic changes",,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Press_Release,Press_Release,Press Release,Promotional material or information provided to a news organisation,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Press_Release,Press Release,Promotional material or information provided to a news organisation,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Preview,Preview,Preview,"Content written ahead of an event, such as a preview of an upcoming summer movie",2021-04-28T12:00:00+00:00,2021-04-28T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Preview,Preview,"Content written ahead of an event, such as a preview of an upcoming summer movie",,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Profile,Profile,Profile,Description of the life or activity of a news subject based on facts discovered through research and interviews,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Profile,Profile,Description of the life or activity of a news subject based on facts discovered through research and interviews,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Program,Program,Program,"A news item giving lists of intended events and time to be covered by the news provider. Each program covers a day, a week, a month or a year. The covered period is referenced as a keyword.",2002-07-15T02:00:00+00:00,2021-04-28T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Program,Program,"A news item giving lists of intended events and time to be covered by the news provider. Each program covers a day, a week, a month or a year. The covered period is referenced as a keyword.",,,Retired 2021-04-28. Use Planner instead.,Retired 2021-04-28. Use Planner instead.,2021-04-28T12:00:00+00:00,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Question_and_Answer_Session,Question_and_Answer_Session,Question and Answer Session,An interview portrayed as a sequence of questions and answers,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Question_and_Answer_Session,Question and Answer Session,An interview portrayed as a sequence of questions and answers,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Quote,Quote,Quote,Direct quote from a person ,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Quote,Quote,Direct quote from a person ,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Raw_Sound,Raw_Sound,Raw Sound,Content is unedited sound without voice,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Raw_Sound,Raw Sound,Content is unedited sound without voice,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Response_to_a_Question,Response_to_a_Question,Response to a Question,An audio recording of an individual's response to a question,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Response_to_a_Question,Response to a Question,An audio recording of an individual's response to a question,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Results_Listings_and_Statistics,Results_Listings_and_Statistics,Results Listings and Statistics,Alphanumeric data suitable for presentation in tabular form,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Results_Listings_and_Statistics,Results Listings and Statistics,Alphanumeric data suitable for presentation in tabular form,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Retrospective,Retrospective,Retrospective,"Material that looks back on a specific period of time, such as a season, quarter, year or decade",2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Retrospective,Retrospective,"Material that looks back on a specific period of time, such as a season, quarter, year or decade",,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Review,Review,Review,"A critique of a creative activity or service (for example a book, a film or a restaurant)",2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Review,Review,"A critique of a creative activity or service (for example a book, a film or a restaurant)",,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Satire,Satire,Satire,"Uses exaggeration, irony, or humour to make a point; not intended to be understood as factual",2020-04-07T12:00:00+00:00,2020-04-07T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Satire,Satire,"Uses exaggeration, irony, or humour to make a point; not intended to be understood as factual",,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Scener,Scener,Scener,The object contains a description of the event circumstances. ,2000-10-06T02:00:00+00:00,2021-04-28T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Scener,Scener,The object contains a description of the event circumstances. ,,,Retired 2021-04-28. Use From the Scene instead.,Retired 2021-04-28. Use From the Scene instead.,2021-04-28T12:00:00+00:00,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Side_bar_and_supporting_information,Side_bar_and_supporting_information,Side bar and Supporting Information,Related content that provides additional context or insight into a news event,2004-08-18T02:00:00+00:00,2021-04-28T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Side_bar_and_supporting_information,Side bar and Supporting Information,Related content that provides additional context or insight into a news event,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Special_Report,Special_Report,Special Report,"In-depth examination of a single subject requiring extensive research, presented either as a single item or as a series of items",2002-07-15T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Special_Report,Special Report,"In-depth examination of a single subject requiring extensive research, presented either as a single item or as a series of items",,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Sponsored,Sponsored,Sponsored,Content is produced on behalf of an organisation or individual that has paid the news provider for production and may approve content publication,2020-04-07T12:00:00+00:00,2020-04-07T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Sponsored,Sponsored,Content is produced on behalf of an organisation or individual that has paid the news provider for production and may approve content publication,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Summary,Summary,Briefing,A summary of a number of news items,2000-10-06T02:00:00+00:00,2021-04-28T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Summary,Briefing,A summary of a number of news items,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Supported,Supported,Supported,"Content is produced with financial support from an organisation or individual, yet not approved by the underwriter before or after publication",2020-04-07T12:00:00+00:00,2020-04-07T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Supported,Supported,"Content is produced with financial support from an organisation or individual, yet not approved by the underwriter before or after publication",,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Synopsis,Synopsis,Synopsis,A condensed version of a single news item,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Synopsis,Synopsis,A condensed version of a single news item,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Text_only,Text_only,Text only,The object contains a transcription of text.,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Text_only,Text only,The object contains a transcription of text.,,,Retired 2021-04-28. Use Transcript and Verbatim instead.,Retired 2021-04-28. Use Transcript and Verbatim instead.,2021-04-28T12:00:00+00:00,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Transcript_and_Verbatim,Transcript_and_Verbatim,Transcript and Verbatim,A word-for-word account of a discussion or briefing,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Transcript_and_Verbatim,Transcript and Verbatim,A word-for-word account of a discussion or briefing,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/UGC,UGC,User Generated Content,Content providing firsthand evidence regarding an event that is captured by non-journalists who are witnesses of or participants in the event,2024-02-13T12:00:00+00:00,2024-02-13T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:UGC,User Generated Content,Content providing firsthand evidence regarding an event that is captured by non-journalists who are witnesses of or participants in the event,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Update,Update,Update,The object contains an intraday snapshot (as for electronic services) of a single news subject. ,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Update,Update,The object contains an intraday snapshot (as for electronic services) of a single news subject. ,,,Retired 2021-04-28. Use Synopsis or Briefing instead.,Retired 2021-04-28. Use Synopsis or Briefing instead.,2021-04-28T12:00:00+00:00,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Voicer,Voicer,Voicer,Content is only voice,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Voicer,Voicer,Content is only voice,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Wrap,Wrap,Wrap,Complete summary of an event,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Wrap,Wrap,Complete summary of an event,,,Retired 2021-04-28. Use Synopsis or Briefing instead.,Retired 2021-04-28. Use Synopsis or Briefing instead.,2021-04-28T12:00:00+00:00,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Wrapup,Wrapup,Wrapup,Recap of a running story,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Wrapup,Wrapup,Recap of a running story,,,Retired 2021-04-28. Use Synopsis or Briefing instead.,Retired 2021-04-28. Use Synopsis or Briefing instead.,2021-04-28T12:00:00+00:00,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/almanac,almanac,On This Day,"List of data, including birthdays of famous people and items of historical significance, for a given day",2006-08-21T02:00:00+00:00,2020-05-10T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:almanac,On This Day,"List of data, including birthdays of famous people and items of historical significance, for a given day",,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/horoscope,horoscope,Horoscope,Astrological forecasts ,2006-08-21T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:horoscope,Horoscope,Astrological forecasts ,,,,,,http://cv.iptc.org/newscodes/genre/
